crm_cd,crm_cd_desc
510,VEHICLE - STOLEN
330,BURGLARY FROM VEHICLE
480,BIKE - STOLEN
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
354,THEFT OF IDENTITY
624,BATTERY - SIMPLE ASSAULT
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
930,CRIMINAL THREATS - NO WEAPON DISPLAYED
668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
813,CHILD ANNOYING (17YRS & UNDER)
440,THEFT PLAIN - PETTY ($950 & UNDER)
626,INTIMATE PARTNER - SIMPLE ASSAULT
762,LEWD CONDUCT
441,THEFT PLAIN - ATTEMPT
310,BURGLARY
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
210,ROBBERY
662,"BUNCO, GRAND THEFT"
860,BATTERY WITH SEXUAL CONTACT
236,INTIMATE PARTNER - AGGRAVATED ASSAULT
820,ORAL COPULATION
661,UNAUTHORIZED COMPUTER ACCESS
901,VIOLATION OF RESTRAINING ORDER
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
946,OTHER MISCELLANEOUS CRIME
761,BRANDISH WEAPON
649,DOCUMENT FORGERY / STOLEN FELONY
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
121,"RAPE, FORCIBLE"
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
928,THREATENING PHONE CALLS/LETTERS
815,SEXUAL PENETRATION W/FOREIGN OBJECT
940,EXTORTION
625,OTHER ASSAULT
352,PICKPOCKET
648,ARSON
886,DISTURBING THE PEACE
666,"BUNCO, ATTEMPT"
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
805,PIMPING
932,PEEPING TOM
900,VIOLATION OF COURT ORDER
903,CONTEMPT OF COURT
439,FALSE POLICE REPORT
954,CONTRIBUTING
434,FALSE IMPRISONMENT
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
220,ATTEMPTED ROBBERY
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
922,CHILD STEALING
760,LEWD/LASCIVIOUS ACTS WITH CHILD
